Name;Acronym;State Acronym;Institution Type;Level_1;Level_2;Level_3
UNIVERSIDADE DO OESTE PAULISTA;UNOESTE;SP;universidade e instâncias ligadas à universidades;;;
FACULDADE TEOLÓGICA BATISTA DE SÃO PAULO;FTBSP;SP;universidade e instâncias ligadas à universidades;;;
FACULDADE POLITÉCNICA DE TAUBATÉ;;SP;universidade e instâncias ligadas à universidades;;;
FACULDADE UNIRIO;;RO;universidade e instâncias ligadas à universidades;;;
Centro Universitário IBMEC;IBMEC;RJ;universidade e instâncias ligadas à universidades;;;
Centro Universitário da Amazônia;Unama;PA;universidade e instâncias ligadas à universidades;;;
FACULDADE DE COLIDER;FACIDER;MT;universidade e instâncias ligadas à universidades;;;
UNIVERSIDADE ANHEMBI MORUMBI;UAM;SP;universidade e instâncias ligadas à universidades;;;
Faculdade de Tecnologia de Osasco - Prefeito Hirant Sanazar;Fatec Osasco;SP;universidade e instâncias ligadas à universidades;;;
Faculdade ENAU;FacEnau;SP;universidade e instâncias ligadas à universidades;;;
FACULDADE CNEC FARROUPILHA;;RS;universidade e instâncias ligadas à universidades;;;
Faculdade de Ciências Médicas de São José dos Campos;;SP;universidade e instâncias ligadas à universidades;;;
FACULDADE CNEC UNAÍ;;MG;universidade e instâncias ligadas à universidades;;;
FACULDADE DE TECNOLOGIA SENAI FLORIANÓPOLIS;SENAI -SC - CTAI;SC;universidade e instâncias ligadas à universidades;;;
FACULDADES COC DE SÃO PAULO;FACOCSP;SP;universidade e instâncias ligadas à universidades;;;
FACULDADES INTEGRADAS TIBIRIÇÁ;FATI;SP;universidade e instâncias ligadas à universidades;;;
FACULDADE DE TUPÃ;;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Ágape de São Félix;;PA;universidade e instâncias ligadas à universidades;;;
Centro Universitário Estácio Meta de Rio Branco Estácio;UNIMETA;AC;universidade e instâncias ligadas à universidades;;;
FACULDADE CURITIBANA;FAC;PR;universidade e instâncias ligadas à universidades;;;
FACULDADE DE CASCAVEL;FADEC;PR;universidade e instâncias ligadas à universidades;;;
INSTITUTO DE ENSINO SUPERIOR DE OLINDA;IESO;PE;universidade e instâncias ligadas à universidades;;;
FACULDADE ANHANGUERA DE TANGARÁ DA SERRA;FITS;MT;universidade e instâncias ligadas à universidades;;;
Faculdade de Bragança;FABRA;PA;universidade e instâncias ligadas à universidades;;;
FACULDADE ANHANGUERA DE RONDONÓPOLIS;FAR;MT;universidade e instâncias ligadas à universidades;;;
FACULDADE ESPÍRITO SANTENSE;UNICAPE;ES;universidade e instâncias ligadas à universidades;;;
FACULDADE SETELAGOANA DE CIÊNCIAS GERENCIAIS;FASCIG;MG;universidade e instâncias ligadas à universidades;;;
FACULDADE BOOKPLAY;;SP;universidade e instâncias ligadas à universidades;;;
FACULDADE HSM;;SP;universidade e instâncias ligadas à universidades;;;
FACULDADE UNINTA TIANGUA;;CE;universidade e instâncias ligadas à universidades;;;
FACULDADE MACHADO DE ASSIS;FAMA;RJ;universidade e instâncias ligadas à universidades;;;
UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA;UNILA;PR;universidade e instâncias ligadas à universidades;;;
INSTITUTO SUPERIOR DE EDUCAÇÃO DE SANTA CATARINA;ISESC;SC;universidade e instâncias ligadas à universidades;;;
TREVISAN ESCOLA SUPERIOR DE NEGÓCIOS;;RJ;universidade e instâncias ligadas à universidades;;;
FACULDADE DO SUL DA BAHIA;FASB;BA;universidade e instâncias ligadas à universidades;;;
Faculdade Microlins;FAMIC;SP;universidade e instâncias ligadas à universidades;;;
FACULDADE DE BOITUVA;FIB;SP;universidade e instâncias ligadas à universidades;;;
FACULDADE 05 DE JULHO;F5;CE;universidade e instâncias ligadas à universidades;;;
Faculdade de Tecnologia de Campinas;FATEC CAMPINAS;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Anhanguera de Erechim;;RS;universidade e instâncias ligadas à universidades;;;
FACULDADE DE CIÊNCIAS CONTÁBEIS DE PONTE NOVA;FACE;MG;universidade e instâncias ligadas à universidades;;;
Centro Universitário SATC;UniSATC;SC;universidade e instâncias ligadas à universidades;;;
FACULDADE CECAPE;;CE;universidade e instâncias ligadas à universidades;;;
FACULDADE BOAS NOVAS DE CIÊNCIAS TEOLÓGICAS, SOCIAIS E BIOTECNOLÓGICAS;FBNCTSB;AM;universidade e instâncias ligadas à universidades;;;
Faculdade de Engenharia e Agrimensura de São Paulo;FEASP;SP;universidade e instâncias ligadas à universidades;;;
FACULDADE ANHANGUERA DE BELO HORIZONTE;;MG;universidade e instâncias ligadas à universidades;;;
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE EXTREMA;FAEX;MG;universidade e instâncias ligadas à universidades;;;
FACULDADE DE ADMINISTRAÇÃO DE NOVA ANDRADINA - FANOVA;FANOVA;MS;universidade e instâncias ligadas à universidades;;;
Faculdade Anhanguera Franca;FAF;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Católica de Belém;FACBEL;PA;universidade e instâncias ligadas à universidades;;;
Faculdade Teológica Betânia;FATEBE;PR;universidade e instâncias ligadas à universidades;;;
CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS;FMU;SP;universidade e instâncias ligadas à universidades;;;
FACULDADE EVANGÉLICA DE TAGUATINGA;FE TAGUATINGA;DF;universidade e instâncias ligadas à universidades;;;
Instituto Brasil de Ensino Superior;IBRAS;PR;universidade e instâncias ligadas à universidades;;;
FACULDADES INTEGRADAS DE TRÊS LAGOAS;AEMS;MS;universidade e instâncias ligadas à universidades;;;
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ALEGRE;FAFIA;ES;universidade e instâncias ligadas à universidades;;;
FACULDADE IMPACTO;;AL;universidade e instâncias ligadas à universidades;;;
Faculdade CNEC Alberto Torres;;RJ;universidade e instâncias ligadas à universidades;;;
UNIÃO DAS FACULDADES DOS GRANDES LAGOS;UNILAGO;SP;universidade e instâncias ligadas à universidades;;;
FACULDADE MONTENEGRO;FAM;BA;universidade e instâncias ligadas à universidades;;;
FACULDADE DE JOÃO PESSOA (SANTA EMÍLIA DO RODAT);;PB;universidade e instâncias ligadas à universidades;;;
FACULDADE ANHANGUERA DE MACEIÓ;;AL;universidade e instâncias ligadas à universidades;;;
CENTRO UNIVERSITÁRIO METODISTA;IPA;RS;universidade e instâncias ligadas à universidades;;;
FACULDADE DE CIÊNCIAS MÉDICAS DA BAHIA;CIENCIAS MEDICAS;BA;universidade e instâncias ligadas à universidades;;;
Faculdade Presidente Antônio Carlos de Nazareno;FUNEES;MG;universidade e instâncias ligadas à universidades;;;
FACULDADE DE TECNOLOGIA SENAI MARINGÁ;;PR;universidade e instâncias ligadas à universidades;;;
FACULDADE DE ODONTOLOGIA DO RECIFE;FOR;PE;universidade e instâncias ligadas à universidades;;;
FACULDADES INTEGRADAS DE FÁTIMA DO SUL;FIFASUL;MS;universidade e instâncias ligadas à universidades;;;
Faculdade Estácio de Jataí Estácio Jataí;Estácio Jataí;GO;universidade e instâncias ligadas à universidades;;;
FACULDADE DOM BOSCO DE PORTO ALEGRE;FDB;RS;universidade e instâncias ligadas à universidades;;;
UNIVERSIDADE DE CAXIAS DO SUL;UCS;RS;universidade e instâncias ligadas à universidades;;;
UNIVERSIDADE FEDERAL DE RORAIMA;UFRR;RR;universidade e instâncias ligadas à universidades;;;
FACULDADE SUDOESTE PAULISTA - TATUÍ - FSP;TATUÍ - FSP;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Norte e Nordeste do Brasil;FANOR - BRASIL;MA;universidade e instâncias ligadas à universidades;;;
FACULDADE FASIPE DE RONDONÓPOLIS;FFR;MT;universidade e instâncias ligadas à universidades;;;
Faculdade Presidente Antônio Carlos de Leopoldina;;MG;universidade e instâncias ligadas à universidades;;;
Favenorte de Porteirinha;FAVEPORT;MG;universidade e instâncias ligadas à universidades;;;
FACULDADE DE MEDICINA NOVA ESPERANÇA;FAMENE;PB;universidade e instâncias ligadas à universidades;;;
FACULDADE PRUDENTE DE MORAES;FPM;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Fecomercio Roraima;FACORR;RR;universidade e instâncias ligadas à universidades;;;
Faculdades Unificadas de Iúna;FUI;ES;universidade e instâncias ligadas à universidades;;;
UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ;UNIOESTE;PR;universidade e instâncias ligadas à universidades;;;
FACULDADE IRECÊ;FAI;BA;universidade e instâncias ligadas à universidades;;;
FACULDADE DINÂMICA;FACDIN;GO;universidade e instâncias ligadas à universidades;;;
UNICORP FACULDADES;UNICORP;PB;universidade e instâncias ligadas à universidades;;;
ESCOLA DE MEDICINA SOUZA MARQUES DA FUNDAÇÃO TÉCNICO-EDUCACIONAL SOUZA MARQUES;EMSM;RJ;universidade e instâncias ligadas à universidades;;;
FACULDADE DE TECNOLOGIA SENAI NADIR DIAS DE FIGUEIREDO;;SP;universidade e instâncias ligadas à universidades;;;
UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;AM;universidade e instâncias ligadas à universidades;;;
FACULDADE SENAC FLORIANÓPOLIS;SENAC FLORIANÓPOLIS;SC;universidade e instâncias ligadas à universidades;;;
FACULDADE DE EDUCAÇÃO DE ITABORAÍ;FEITA;RJ;universidade e instâncias ligadas à universidades;;;
FACULDADE PRISMA;FAP;MG;universidade e instâncias ligadas à universidades;;;
FACULDADE DE CIÊNCIAS HUMANAS DO SUL PAULISTA;FACHI;SP;universidade e instâncias ligadas à universidades;;;
FACULDADE OLGA METTIG;FAMETTIG;BA;universidade e instâncias ligadas à universidades;;;
FACULDADE DE CIÊNCIAS E TECNOLOGIA DE NATAL;FACITEN;RN;universidade e instâncias ligadas à universidades;;;
FACULDADE DE MEDICINA ESTÁCIO DE CASTANHAL;ESTÁCIO FMEC;PA;universidade e instâncias ligadas à universidades;;;
CENTRO UNIVERSITÁRIO LUTERANO DE MANAUS;CEULM/ULBRA;AM;universidade e instâncias ligadas à universidades;;;
FACULDADE VALE DO GORUTUBA;FAVAG;MG;universidade e instâncias ligadas à universidades;;;
ESCOLA SUPERIOR DO MINISTÉRIO PÚBLICO DA UNIÃO;ESMPU;DF;universidade e instâncias ligadas à universidades;;;
FACULDADE DE SÃO VICENTE;FSV;SP;universidade e instâncias ligadas à universidades;;;
Faculdade de Ensino Jurídico de Vitória;FEJ;ES;universidade e instâncias ligadas à universidades;;;
UNIVERSIDADE DO EXTREMO SUL CATARINENSE;UNESC;SC;universidade e instâncias ligadas à universidades;;;
FACULDADE UNITÀ;UNITÀ;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Pitágoras Belo Jardim;;PE;universidade e instâncias ligadas à universidades;;;
Faculdade de Tecnologia de Barueri;Fatec Barueri;SP;universidade e instâncias ligadas à universidades;;;
FACULDADE REDENTOR DE CAMPOS;FACREDENTOR;RJ;universidade e instâncias ligadas à universidades;;;
Centro Universitário de Adamantina;FAI;SP;universidade e instâncias ligadas à universidades;;;
