Name;Acronym;State Acronym;Institution Type;Level_1;Level_2;Level_3
Faculdade Albert Einstein de São Paulo;FAESP;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Aldete Maria Alves;FAMA;MG;universidade e instâncias ligadas à universidades;;;
Faculdade Alfa;FA;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Alfacastelo;FCGB;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Alfredo Nasser;UNIFAN;GO;universidade e instâncias ligadas à universidades;;;
Faculdade Almeida Rodrigues;FAR;GO;universidade e instâncias ligadas à universidades;;;
Faculdade Alves Faria;ALFA;GO;universidade e instâncias ligadas à universidades;;;
Faculdade Alvorada de Educação Física e Desporto;FAEFD;DF;universidade e instâncias ligadas à universidades;;;
Faculdade Alvorada de Informática e Processamento de Dados;FAIPD;DF;universidade e instâncias ligadas à universidades;;;
Faculdade Alvorada de Tecnologia e Educação de Maringá;FACULDADE ALVORADA;PR;universidade e instâncias ligadas à universidades;;;
Faculdade Amadeus;FAMA;SE;universidade e instâncias ligadas à universidades;;;
Faculdade Amec Trabuco;Amec;BA;universidade e instâncias ligadas à universidades;;;
Faculdade Ampére;FAMPER;PR;universidade e instâncias ligadas à universidades;;;
Faculdade Anchieta;IGABC;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Anchieta;FAESP;PR;universidade e instâncias ligadas à universidades;;;
Faculdade Anglicana de Erechim;FAE;RS;universidade e instâncias ligadas à universidades;;;
Faculdade Anglo-Americano;FAA;PR;universidade e instâncias ligadas à universidades;;;
Faculdade Anhaguera de Indaiatuba;;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Anhaguera de Jundiaí;FPJ;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Anhanguera de Matão;FPM;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Anhanguera de Rio Claro;;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Anhanguera de Santa Bárbara;FAC Santa Bárbara;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Anhanguera de Taubaté;FAC;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Anhanguera de Valinhos;FAV;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Anísio Teixeira de Feira de Santana;FAT;BA;universidade e instâncias ligadas à universidades;;;
Faculdade Anita Garibaldi;FAAG;SC;universidade e instâncias ligadas à universidades;;;
Faculdade Apoio;FA;BA;universidade e instâncias ligadas à universidades;;;
Faculdade Araguaia;FARA;GO;universidade e instâncias ligadas à universidades;;;
Faculdade Arnaldo Horácio Ferreira;FAAHF;BA;universidade e instâncias ligadas à universidades;;;
Faculdade Arthur Sá Earp Neto;FASE;RJ;universidade e instâncias ligadas à universidades;;;
Faculdade Asa de Brumadinho;IECEMB - FAB;MG;universidade e instâncias ligadas à universidades;;;
Faculdade Assis Gurgacz;FAG;PR;universidade e instâncias ligadas à universidades;;;
Faculdade Associada Brasil;FAB;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Atenas;;MG;universidade e instâncias ligadas à universidades;;;
Faculdade Atenas Maranhense;FAMA;MA;universidade e instâncias ligadas à universidades;;;
Faculdade Atenas Maranhense de Imperatriz;FAMA;MA;universidade e instâncias ligadas à universidades;;;
Faculdade Ateneu;FATE;CE;universidade e instâncias ligadas à universidades;;;
Faculdade Atlântico;FA;SE;universidade e instâncias ligadas à universidades;;;
Faculdade Atlântico Sul de Pelotas;ATLÂNTICOSUL;RS;universidade e instâncias ligadas à universidades;;;
Faculdade Atlântico Sul do Rio Grande;ATLÂNTICOSUL;RS;universidade e instâncias ligadas à universidades;;;
Faculdade Atual;FAAT;AP;universidade e instâncias ligadas à universidades;;;
Faculdade Atual da Amazônia;FAA;RR;universidade e instâncias ligadas à universidades;;;
Faculdade Autônoma de Direito;FADISP;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Avantis;AVANTIS;SC;universidade e instâncias ligadas à universidades;;;
Faculdade Ávila;FAC;GO;universidade e instâncias ligadas à universidades;;;
Faculdade Baiana de Ciências;FABAC;BA;universidade e instâncias ligadas à universidades;;;
Faculdade Baiana de Ciências Contábeis;FABAC;BA;universidade e instâncias ligadas à universidades;;;
Faculdade Baiana de Direito e Gestão;;BA;universidade e instâncias ligadas à universidades;;;
Faculdade Bandeirantes;FABAN;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Bandeirantes de Educação Superior;UNISUZ;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Barão de Piratininga;AES;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Barão do Rio Branco;FAB;AC;universidade e instâncias ligadas à universidades;;;
Faculdade Barddal;FB-SI;SC;universidade e instâncias ligadas à universidades;;;
Faculdade Barddal de Artes Aplicadas;FB-AA;SC;universidade e instâncias ligadas à universidades;;;
Faculdade Barddal de Ciências Contábeis;FB-CC;SC;universidade e instâncias ligadas à universidades;;;
Faculdade Barretos;FB;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Batista Brasileira;FBB;BA;universidade e instâncias ligadas à universidades;;;
Faculdade Batista da Serra;FABAVI;ES;universidade e instâncias ligadas à universidades;;;
Faculdade Batista de Minas Gerais;FBMG;MG;universidade e instâncias ligadas à universidades;;;
Faculdade Batista de Vila Velha;FABAVI;ES;universidade e instâncias ligadas à universidades;;;
Faculdade Batista de Vitória;FABAVI;ES;universidade e instâncias ligadas à universidades;;;
Faculdade Batista do Rio de Janeiro;FABAT;RJ;universidade e instâncias ligadas à universidades;;;
Faculdade Betel de Goianésia;FABEGO;GO;universidade e instâncias ligadas à universidades;;;
Faculdade Béthencourt da Silva;FABES;RJ;universidade e instâncias ligadas à universidades;;;
Faculdade Bezerra de Araújo;FABA;RJ;universidade e instâncias ligadas à universidades;;;
Faculdade Birigui;Fabi;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Boa Viagem;FBV;PE;universidade e instâncias ligadas à universidades;;;
Faculdade Boa Viagem - Instituto Materno Infantil de Pernambuco;FBV-IMIP;PE;universidade e instâncias ligadas à universidades;;;
Faculdade Boas Novas de Ciências Teológicas, Sociais e Biotecnológicas;FBNCTSB;AM;universidade e instâncias ligadas à universidades;;;
Faculdade Brasileira;UNIVIX;ES;universidade e instâncias ligadas à universidades;;;
Faculdade Brasileira de Ciências Exatas, Humanas e Sociais - Fabrai;FABRAI;MG;universidade e instâncias ligadas à universidades;;;
Faculdade Brasileira de Ciências Jurídicas;FBCJ;RJ;universidade e instâncias ligadas à universidades;;;
Faculdade Brasileira de Recursos Humanos;FBRH;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Brasília de São Paulo;FABRASP;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Brasília de Tecnologia, Ciências e Educação;FACULDADE BRASÍLIA;DF;universidade e instâncias ligadas à universidades;;;
Faculdade Camaqüense de Ciências Contábeis e Administrativas;FACCCA;RS;universidade e instâncias ligadas à universidades;;;
Faculdade Câmara Cascudo;FCC;RN;universidade e instâncias ligadas à universidades;;;
Faculdade Cambury;CAMBURY;GO;universidade e instâncias ligadas à universidades;;;
Faculdade Cambury de Formosa;CAMBURY;GO;universidade e instâncias ligadas à universidades;;;
Faculdade Campo Limpo Paulista;FACCAMP;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Campos Elíseos;FCE;SP;universidade e instâncias ligadas à universidades;;;
